normalized_formula,formation_energy_per_atom,mpid,e_above_hull,energy_per_atom
Fe0.48275862 O0.51724138,-1.700439200646552,mp-764417,0.059126253620695124,-6.6657199106896545
Fe0.4 O0.6,-1.7879984614999997,mp-1456,0.11935988125000385,-6.62991655875
Fe0.46666667 O0.53333333,-1.6898633493333326,mp-32939,0.09913590433333574,-6.631156884666667
Fe0.4 O0.6,-1.5965081839999997,mp-1245078,0.31085015875000366,-6.43842628125
Fe0.33333333 O0.66666667,-1.3820667925000005,mp-1103327,0.20739849312499636,-6.124609451666667
Fe0.47058824 O0.52941176,-1.7186341641911766,mp-763787,0.06319214676470786,-6.665773313529412
Fe0.4 O0.6,-1.7300119222500001,mp-1205415,0.17734642050000282,-6.5719300195
Fe0.33333333 O0.66666667,-1.3161878175000001,mp-1062652,0.416926474791663,-5.9150814700000005
Fe0.47619048 O0.52380952,-1.7257569199404765,mp-705555,0.045822330000003575,-6.681246946428572
Fe0.47058824 O0.52941176,-1.7313431930147047,mp-705588,0.05048311794118021,-6.678482342352941
Fe0.4375 O0.5625,-1.6222360959114575,mp-705558,0.2201119191666674,-6.520052877083334
Fe0.42857143 O0.57142857,-1.8212424310714295,mp-715811,0.0374368374999996,-6.705750001785715
Fe0.33333333 O0.66666667,-1.3117435636111106,mvc-15135,0.2777217220138857,-6.054286222777778
Fe0.4 O0.6,-1.0472083507499987,mp-1068212,0.8601499920000046,-5.889126448
Fe0.5 O0.5,-1.713967379375001,mp-1283030,0.014061861249999197,-6.70494863375
Fe0.42857143 O0.57142857,-1.7835284446428565,mp-510252,0.07515082392857231,-6.668036015357143
Fe0.33333333 O0.66666667,-1.1126264941666666,mp-25332,0.47683879145833075,-5.855169153333333
Fe0.48387097 O0.51612903,-1.6711610496774196,mp-1224936,0.08636981016129042,-6.638099859354838
Fe0.38461538 O0.61538462,-1.6528182453846152,mp-1225007,0.18118016110576907,-6.47180354923077
Fe0.5 O0.5,-1.5822613760416655,mp-849689,0.10381590999999979,-6.615194585
Fe0.5 O0.5,-1.4131602955000004,mp-1244983,0.3148689451249993,-6.404141549875
Fe0.23529412 O0.76470588,-0.5242409774264704,mp-1181411,0.5735875294852972,-5.144790275294118
Fe0.40625 O0.59375,-1.5940688166796866,mp-1195927,0.30264097859374406,-6.44530336125
Fe0.40186916 O0.59813084,-1.7842858971962616,mp-530050,0.11988783322428809,-6.628990221682243
Fe0.33333333 O0.66666667,-1.3146560211111114,mvc-13234,1.0106955447916635,-5.3213124
Fe0.5 O0.5,-1.7280292406250002,mp-1279742,0.0,-6.719010495
Fe0.41818182 O0.58181818,-1.7668647498181826,mp-776135,0.1095160002727269,-6.635885239272727
Fe0.23529412 O0.76470588,-0.4112942503676473,mp-1181334,0.6914549606617673,-5.452336373529413
Fe0.4 O0.6,-1.2513353302499994,mp-715572,0.1158359455000042,-6.6334404945
Fe0.4 O0.6,-1.1754675772499994,mp-776606,0.7318907655000046,-6.0173856745
Fe0.4 O0.6,-1.3467991113750002,mp-1245084,0.5605592313750032,-6.330359208625
Fe0.47368421 O0.52631579,-1.7046655222368416,mp-759037,0.3496781802631581,-6.378239388947368
Fe0.42857143 O0.57142857,-1.8295961007142856,mp-1284941,0.029083167857143266,-6.714103671428572
Fe0.44444444 O0.55555556,-1.7196262256944448,mp-1188678,1.8298070061111122,-4.908007312222222
Fe0.42857143 O0.57142857,-1.8179970725,mp-1181657,0.040682196071429644,-6.702504643214286
Fe0.42857143 O0.57142857,-1.689821847142858,mp-715614,0.46827962285714353,-6.274907216428572
Fe0.42857143 O0.57142857,-1.0735906353571434,mp-715558,0.7850886332142863,-5.958098206071428
Fe0.42268041 O0.57731959,-1.7818654847422684,mp-757565,0.08685070634020775,-6.6575917207216495
Fe0.4 O0.6,-1.7738848917499994,mp-510080,0.130721205500004,-6.6185552345000005
Fe0.4 O0.6,-1.9073583427499998,mp-19770,0.0,-6.74927644
Fe0.48571429 O0.51428571,-1.713541056071427,mp-705424,0.04061819014285817,-6.683227573714285
Fe0.39622642 O0.60377358,-1.6947889983018858,mp-530048,0.1945753978183955,-6.531082070754716
Fe0.48148148 O0.51851852,-1.6900221813888887,mp-705414,0.07187928870369653,-6.6533991474074075
Fe0.41666667 O0.58333333,-1.7079122765624994,mp-1095382,0.1710499395833196,-6.574674233333333
Fe0.5 O0.5,-1.582632104791666,mp-1178247,0.4695686070833345,-6.249441887916666
Fe0.43859649 O0.56140351,-1.639485557017543,mp-1194978,1.544389359912281,-5.195404308245614
Fe0.42857143 O0.57142857,-1.799001559464285,mp-650112,0.059677709107145205,-6.683509130178571
Fe0.42857143 O0.57142857,-1.7443236510714297,mp-505595,0.11435561749999934,-6.628831221785715
Fe0.5 O0.5,-1.582387115625,mp-756436,0.14564212500000018,-6.57336837
Fe0.4 O0.6,-1.3703353950833332,mp-557546,0.6674134506666709,-6.081862989333334
Fe0.40909091 O0.59090909,-1.6277823589204559,mvc-12205,0.26408718750000126,-6.4832516522727275
Fe0.42857143 O0.57142857,-1.6687397250000007,mp-612405,0.8755971578571433,-5.867589681428571
Fe0.4 O0.6,-1.8214564807499998,mp-715276,0.0859018620000036,-6.663374578
Fe0.5 O0.5,-1.7159931856250008,mp-1178232,0.01203605499999938,-6.70697444
Fe0.33333333 O0.66666667,-1.026366319166667,mvc-11541,0.5630989664583304,-5.768908978333333
Fe0.42857143 O0.57142857,-1.8586792685714297,mp-19306,0.0,-6.743186839285714
Fe0.49350649 O0.50649351,-1.6687767429707803,mp-705753,0.07112977292206857,-6.650078571558442
Fe0.4 O0.6,-1.3946241970833333,mp-716814,0.704232468666671,-6.045043971333333
Fe0.42857143 O0.57142857,-1.7968009192857153,mp-1291630,0.06187834928571512,-6.68130849
Fe0.46666667 O0.53333333,-1.7248370183333321,mp-715333,0.06416223533333643,-6.666130553666666
Fe0.4 O0.6,-1.1581868294999993,mp-542896,0.7491715132500048,-6.00010492675
